f1,f2,f3,f4,f5,label
0.1322876916319162,0.2348044430334974,0.903505630876194,0.1491698483815339,0.240727864591249,1
0.5471406855498683,0.4181432278828784,0.9995900949778478,0.2947632147703841,0.1915758941927843,1
0.6704618851732682,0.9588100200760236,0.909129786996746,0.6417765948182029,0.7201905102036772,1
0.0391772928115176,0.0155254538895008,0.0254410617450333,0.446270139646269,0.0564129105243809,0
0.6539925499181715,0.0353294166339666,0.5260757372274197,0.5720416256118589,0.8939790298590026,0
0.0409320135245563,0.7647953315144141,0.5228666851291983,0.1791642492693413,0.2206502914206271,0
0.7054105845029109,0.0027571676830503,0.2500000902569532,0.4075385654927614,0.0760959417181469,0
0.3303203530853756,0.0181187685204218,0.6062593825082183,0.9647240383239036,0.0996686210886788,0
0.7532543910057149,0.2859061221806681,0.2915377687421013,0.6863671431014673,0.3783497604722505,0
0.3836432216507007,0.0815007254328913,0.0354145012851914,0.0143984240668101,0.78667741538721,0
0.2356860283617631,0.3642631643734331,0.021695019845997,0.4437557375505055,0.0006572781029433,0
0.8286757211380017,0.2572985418915228,0.8604823032154261,0.7149886823322935,0.4465843478105558,1
0.7206371293026397,0.2565039087645197,0.3664608078242635,0.4533056131586983,0.7956175594018264,0
0.3504615840468265,0.1991771355146527,0.7041140841911033,0.41327533012177,0.2845751127670231,0
0.3328456075499796,0.0444190772020568,0.2008118905878945,0.3332326565733881,0.9804920897985562,0
0.7270535512405639,0.0900373857667151,0.2557985444372675,0.8250953018626572,0.3300609962749306,1
0.9013002362377068,0.1135848331631094,0.8478803445764245,0.1677140913355463,0.377806949707597,1
0.4089662926913819,0.473817716560317,0.7409658029202701,0.2745222726340267,0.1903172478901672,1
0.3964038251920052,0.5837680904036364,0.6312562020229111,0.1784641148989775,0.524681966186647,0
0.2084850356086975,0.3916560007012047,0.3958158623395991,0.9932284078215118,0.1627692318690577,0
0.1371289293630623,0.3786106109724547,0.2520981422307786,0.4327143618451499,0.9325898174423,0
0.366083452161083,0.9418023298366656,0.7735381107349444,0.9628034898407408,0.1068096207521299,1
0.9692227575955584,0.4758843592815679,0.3040825052812742,0.7078274380185458,0.4280137956001612,1
0.2427788559698255,0.9202358551372604,0.1306835796418364,0.378690765835333,0.5167689701266548,0
0.0552456257431375,0.011937427644089,0.9463991601411385,0.0252329189445172,0.6281261081218956,1
0.7723694023926329,0.3574642251240043,0.9537759286621929,0.4118919572075732,0.6042770146383111,1
0.3925164826002046,0.8036079750381196,0.8541202320215708,0.4367462198187023,0.9059659877095834,1
0.8662523315496442,0.6387168176326387,0.2609248290378174,0.2147642798585897,0.173636334841111,0
0.2159256972377666,0.9029825175929443,0.3960000565823144,0.0888001651441134,0.529849123550125,0
0.6697483916961878,0.8912948166266997,0.7636377088363404,0.1465715149241356,0.9352373005226384,1
0.4532927542291938,0.3570216653840682,0.3140719189391929,0.9172482186218072,0.3343517851100989,0
0.2049093962489336,0.5716356687058243,0.778414025634992,0.7495309403470333,0.5977451856919253,1
0.9867350859256114,0.0988190534395009,0.5042188425814509,0.6556198695316847,0.8795996872086399,1
0.3693354709540093,0.3994113117984076,0.5794967500215125,0.0957604041810987,0.593822201280667,1
0.2312191297639197,0.7752368660818465,0.962011005496414,0.3138239942826216,0.5778725654795942,1
0.5863200653086845,0.5527567432284268,0.8102316841500872,0.7039218433351784,0.4312526132881622,1
0.9268151746986308,0.7668768886167269,0.1157624647233206,0.5272764449190853,0.9061146131507484,1
0.9674893853823696,0.8985583496568522,0.966309274916248,0.1500703305387234,0.1846951769270242,1
0.7305037028072089,0.0755997882726299,0.6080892941842133,0.7717737816305089,0.5248582834788902,0
0.8536691404203338,0.652381978930308,0.5220917115863024,0.1615352480890864,0.1347096114307335,0
0.1800094576746514,0.8040914822215631,0.6798323308560543,0.1734110200779378,0.5507868022761238,1
0.3723876573660901,0.9309313467850951,0.830292454869675,0.3468650075881968,0.5304894418423115,1
0.1068271472603807,0.5859460493482678,0.168738106107703,0.0961360428654609,0.2287116739671952,0
0.0850957149977821,0.0089219740835043,0.6884545171684189,0.8729213997453281,0.7086768303288054,0
0.0509867640334041,0.2545821421273082,0.9766044265654632,0.1917523403782317,0.8902462529150381,1
0.869580764677436,0.5758120535555363,0.4421003070026325,0.8326106544794122,0.0048043857425581,1
0.4463561336048859,0.9729598338231414,0.7984369790703204,0.7237264183442567,0.245473006902722,1
0.4492868439778514,0.6360143394971953,0.3199584337124734,0.9001221899438118,0.3530537450570522,0
0.3422616159404844,0.1385580985430192,0.6879132928365712,0.1732575647193852,0.5120363357067518,0
0.8957288893295682,0.4229745166944033,0.6985122341729196,0.6615151586283237,0.586541348747925,1
0.6494434668835357,0.5894147781528308,0.0522085218523616,0.3672313812893324,0.8000683629440158,0
0.6718453786251749,0.6550519899106698,0.9506536738190964,0.8065795757222908,0.9648925873874024,1
0.7961021680790361,0.3713188308779415,0.2012235149533434,0.2844589636387166,0.3533485795399761,0
0.0509530047501837,0.2515175367376573,0.3351379527133137,0.8566272365834107,0.9308052152568318,0
0.7572780516875294,0.7018973956574296,0.4461057075660739,0.8635958647794262,0.2315436613887384,1
